"","team1","team2","homeWinPct","awayWinPct","homeDrawPct"
"156","Liverpool","Man City",0.75,0.2,0.2
"157","Liverpool","Newcastle",0.782608695652174,0.304347826086957,0.173913043478261
"158","Liverpool","Oldham",1,1,0
"159","Liverpool","Sheffield United",0.5,0,0
"160","Liverpool","Southampton",0.555555555555556,0.444444444444444,0.277777777777778
"161","Liverpool","West Ham",0.681818181818182,0.5,0.272727272727273
"162","Liverpool","Norwich",0.571428571428571,0.857142857142857,0.285714285714286
"163","Liverpool","Tottenham",0.6,0.28,0.32
"164","Liverpool","Everton",0.44,0.4,0.48
"165","Liverpool","Ipswich",0.5,0.75,0
"166","Liverpool","Leeds",0.636363636363636,0.545454545454545,0.0909090909090909
"167","Liverpool","Wimbledon",0.571428571428571,0.142857142857143,0.428571428571429
"168","Liverpool","Blackburn",0.588235294117647,0.352941176470588,0.352941176470588
"169","Liverpool","Coventry",0.625,0.375,0.125
"170","Liverpool","Man United",0.32,0.2,0.24
"171","Liverpool","QPR",0.833333333333333,0.666666666666667,0.166666666666667
"172","Liverpool","Sheffield Weds",0.857142857142857,0.285714285714286,0
"173","Liverpool","Swindon",0,1,1
"174","Liverpool","Crystal Palace",0.5,0.625,0.125
"175","Liverpool","Leicester",0.583333333333333,0.416666666666667,0.166666666666667
"176","Liverpool","Nottingham Forest",1,0,0
"177","Liverpool","Bolton",0.923076923076923,0.461538461538462,0.0769230769230769
"178","Liverpool","Middlesbrough",0.769230769230769,0.230769230769231,0.230769230769231
"179","Liverpool","Derby",0.714285714285714,0.714285714285714,0.142857142857143
"180","Liverpool","Sunderland",0.5,0.625,0.5
"181","Liverpool","Barnsley",0,1,0
"182","Liverpool","Charlton",0.5,0.5,0.375
"183","Liverpool","Watford",0.8,0.6,0
"184","Liverpool","Brentford",1,0.5,0
"185","Liverpool","Fulham",0.615384615384615,0.615384615384615,0.307692307692308
"186","Liverpool","Birmingham",0.285714285714286,0.142857142857143,0.571428571428571
"187","Liverpool","Middlesboro",0,0,1
"188","Liverpool","West Brom",0.666666666666667,0.5,0.166666666666667
"189","Liverpool","Portsmouth",0.714285714285714,0.428571428571429,0.285714285714286
"190","Liverpool","Wolves",0.75,0.5,0
"191","Liverpool","Wigan",0.625,0.5,0.25
"192","Liverpool","Reading",1,0.333333333333333,0
"193","Liverpool","Hull",0.6,0.2,0.4
