"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct"
"146",142,15,"02-12-2017","Stamford Bridge","Spurs","Swansea",0.714285714285714,0,0.285714285714286
"147",141,15,"02-12-2017","Villa Park","Watford","Tottenham",0,0.4,0.6
"148",147,15,"02-12-2017","St. Mary's Stadium","West Brom","Crystal Palace",0.333333333333333,0.166666666666667,0.5
"149",149,15,"03-12-2017","London Stadium","Bournemouth","Southampton",0.333333333333333,0.333333333333333,0.333333333333333
"150",148,15,"03-12-2017","Tottenham Hotspur Stadium","Man City","West Ham",0.764705882352941,0.117647058823529,0.117647058823529
"151",155,16,"09-12-2017","Etihad Stadium","Burnley","Watford",1,0,0
"152",151,16,"09-12-2017","Vitality Stadium","Crystal Palace","Bournemouth",0,0.333333333333333,0.666666666666667
"153",154,16,"09-12-2017","Anfield","Huddersfield","Brighton",1,0,0
"154",157,16,"09-12-2017","The City Ground","Newcastle","Leicester",0.636363636363636,0.272727272727273,0.0909090909090909
"155",158,16,"09-12-2017","Tottenham Hotspur Stadium","Swansea","West Brom",0.857142857142857,0.142857142857143,0
"156",159,16,"09-12-2017","London Stadium","Tottenham","Spurs",0.5,0.2,0.3
"157",156,16,"09-12-2017","St. James' Park","West Ham","Chelsea",0.363636363636364,0.5,0.136363636363636
"158",160,16,"10-12-2017","Molineux Stadium","Liverpool","Everton",0.44,0.08,0.48
"159",152,16,"10-12-2017","Amex Stadium","Man United","Man City",0.45,0.3,0.25
"160",153,16,"10-12-2017","Craven Cottage","Southampton","Arsenal",0.277777777777778,0.388888888888889,0.333333333333333
"161",163,17,"12-12-2017","Brentford Community Stadium","Burnley","Spurs",0.5,0,0.5
"162",165,17,"12-12-2017","Selhurst Park","Crystal Palace","Watford",0.666666666666667,0.333333333333333,0
"163",166,17,"12-12-2017","Goodison Park","Huddersfield","Chelsea",0,1,0
"164",168,17,"13-12-2017","King Power Stadium","Liverpool","West Brom",0.666666666666667,0.166666666666667,0.166666666666667
"165",170,17,"13-12-2017","St. Mary's Stadium","Man United","Bournemouth",0.666666666666667,0,0.333333333333333
"166",162,17,"13-12-2017","Villa Park","Newcastle","Everton",0.521739130434783,0.304347826086957,0.173913043478261
"167",161,17,"13-12-2017","Emirates Stadium","Southampton","Leicester",0.416666666666667,0.166666666666667,0.416666666666667
"168",164,17,"13-12-2017","Stamford Bridge","Swansea","Man City",0.142857142857143,0.571428571428571,0.285714285714286
"169",169,17,"13-12-2017","Old Trafford","Tottenham","Brighton",1,0,0
"170",167,17,"13-12-2017","Elland Road","West Ham","Arsenal",0.0909090909090909,0.545454545454545,0.363636363636364
"171",179,18,"16-12-2017","London Stadium","Arsenal","Newcastle",0.739130434782609,0.173913043478261,0.0869565217391304
"172",174,18,"16-12-2017","Anfield","Brighton","Burnley",0,0,1
"173",180,18,"16-12-2017","Molineux Stadium","Chelsea","Southampton",0.611111111111111,0.166666666666667,0.222222222222222
"174",171,18,"16-12-2017","Vitality Stadium","Leicester","Crystal Palace",0.333333333333333,0.5,0.166666666666667
"175",173,18,"16-12-2017","Craven Cottage","Man City","Tottenham",0.4,0.45,0.15
"176",175,18,"16-12-2017","Etihad Stadium","Spurs","West Ham",0.333333333333333,0.333333333333333,0.333333333333333
"177",176,18,"16-12-2017","St. James' Park","Watford","Huddersfield",0,1,0
"178",172,18,"17-12-2017","Amex Stadium","Bournemouth","Liverpool",0.333333333333333,0.666666666666667,0
"179",178,18,"17-12-2017","Tottenham Hotspur Stadium","West Brom","Man United",0.0833333333333333,0.75,0.166666666666667
"180",177,18,"18-12-2017","The City Ground","Everton","Swansea",0.428571428571429,0.142857142857143,0.428571428571429
"181",183,19,"22-12-2017","Brentford Community Stadium","Arsenal","Liverpool",0.36,0.24,0.4
"182",186,19,"23-12-2017","Goodison Park","Brighton","Watford",1,0,0
"183",188,19,"23-12-2017","King Power Stadium","Burnley","Tottenham",0.25,0.5,0.25
"184",181,19,"23-12-2017","Emirates Stadium","Everton","Chelsea",0.32,0.36,0.32
"185",189,19,"23-12-2017","Old Trafford","Leicester","Man United",0.0833333333333333,0.583333333333333,0.333333333333333
"186",190,19,"23-12-2017","St. Mary's Stadium","Man City","Bournemouth",1,0,0
"187",187,19,"23-12-2017","Elland Road","Southampton","Huddersfield",0,0,1
"188",182,19,"23-12-2017","Villa Park","Spurs","West Brom",0.333333333333333,0.222222222222222,0.444444444444444
"189",185,19,"23-12-2017","Selhurst Park","Swansea","Crystal Palace",0.2,0,0.8
"190",184,19,"23-12-2017","Stamford Bridge","West Ham","Newcastle",0.4,0.4,0.2
"191",191,20,"26-12-2017","Villa Park","Bournemouth","West Ham",0.333333333333333,0.333333333333333,0.333333333333333
"192",196,20,"26-12-2017","Old Trafford","Chelsea","Brighton",1,0,0
"193",193,20,"26-12-2017","Amex Stadium","Huddersfield","Spurs",0,0,1
"194",194,20,"26-12-2017","Stamford Bridge","Liverpool","Swansea",0.714285714285714,0.142857142857143,0.142857142857143
"195",195,20,"26-12-2017","Goodison Park","Man United","Burnley",0.5,0,0.5
"196",198,20,"26-12-2017","The City Ground","Tottenham","Southampton",0.722222222222222,0.166666666666667,0.111111111111111
"197",200,20,"26-12-2017","Molineux Stadium","Watford","Leicester",0.5,0.25,0.25
"198",192,20,"26-12-2017","Brentford Community Stadium","West Brom","Everton",0.333333333333333,0.5,0.166666666666667
"199",197,20,"27-12-2017","St. James' Park","Newcastle","Man City",0.333333333333333,0.5,0.166666666666667
"200",199,20,"28-12-2017","Tottenham Hotspur Stadium","Crystal Palace","Arsenal",0.125,0.625,0.25
"201",207,21,"30-12-2017","Anfield","Bournemouth","Everton",0.666666666666667,0,0.333333333333333
"202",201,21,"30-12-2017","Vitality Stadium","Chelsea","Spurs",0.9,0,0.1
"203",206,21,"30-12-2017","King Power Stadium","Huddersfield","Burnley",0,0,1
"204",208,21,"30-12-2017","Etihad Stadium","Liverpool","Leicester",0.583333333333333,0.25,0.166666666666667
"205",209,21,"30-12-2017","St. Mary's Stadium","Man United","Southampton",0.722222222222222,0.111111111111111,0.166666666666667
"206",210,21,"30-12-2017","London Stadium","Newcastle","Brighton",0,0,1
"207",203,21,"30-12-2017","Selhurst Park","Watford","Swansea",0.666666666666667,0.333333333333333,0
"208",205,21,"31-12-2017","Elland Road","Crystal Palace","Man City",0.285714285714286,0.571428571428571,0.142857142857143
"209",202,21,"31-12-2017","Emirates Stadium","West Brom","Arsenal",0.25,0.5,0.25
"210",204,21,"01-01-2018","Craven Cottage","Brighton","Bournemouth",0,0,1
"211",211,22,"01-01-2018","Villa Park","Burnley","Liverpool",0.25,0.75,0
"212",212,22,"01-01-2018","Brentford Community Stadium","Everton","Man United",0.24,0.6,0.16
"213",213,22,"01-01-2018","Amex Stadium","Leicester","Huddersfield",1,0,0
"214",214,22,"01-01-2018","Stamford Bridge","Spurs","Newcastle",0.625,0.25,0.125
"215",215,22,"02-01-2018","Goodison Park","Man City","Watford",0.75,0,0.25
"216",216,22,"02-01-2018","Old Trafford","Southampton","Crystal Palace",0.75,0.125,0.125
"217",217,22,"02-01-2018","St. James' Park","Swansea","Tottenham",0,0.714285714285714,0.285714285714286
"218",218,22,"02-01-2018","The City Ground","West Ham","West Brom",0.3,0.1,0.6
"219",219,22,"03-01-2018","Tottenham Hotspur Stadium","Arsenal","Chelsea",0.44,0.2,0.36
"220",220,22,"04-01-2018","Molineux Stadium","Tottenham","West Ham",0.545454545454545,0.181818181818182,0.272727272727273
"221",221,23,"13-01-2018","Vitality Stadium","Chelsea","Leicester",0.583333333333333,0.0833333333333333,0.333333333333333
"222",222,23,"13-01-2018","Emirates Stadium","Crystal Palace","Burnley",0.333333333333333,0.333333333333333,0.333333333333333
"223",223,23,"13-01-2018","Selhurst Park","Huddersfield","West Ham",0,1,0
"224",224,23,"13-01-2018","Craven Cottage","Newcastle","Swansea",0.166666666666667,0.5,0.333333333333333
"225",225,23,"13-01-2018","Elland Road","Tottenham","Everton",0.6,0.12,0.28
"226",226,23,"13-01-2018","King Power Stadium","Watford","Southampton",0.25,0.25,0.5
"227",227,23,"13-01-2018","Anfield","West Brom","Brighton",1,0,0
"228",228,23,"14-01-2018","Etihad Stadium","Bournemouth","Arsenal",0.333333333333333,0.333333333333333,0.333333333333333
"229",229,23,"14-01-2018","St. Mary's Stadium","Liverpool","Man City",0.75,0.05,0.2
"230",230,23,"15-01-2018","London Stadium","Man United","Spurs",0.9,0,0.1
"231",231,24,"20-01-2018","Villa Park","Arsenal","Crystal Palace",0.75,0.125,0.125
"232",232,24,"20-01-2018","Brentford Community Stadium","Brighton","Chelsea",0,1,0
"233",233,24,"20-01-2018","Amex Stadium","Burnley","Man United",0.25,0.5,0.25
"234",234,24,"20-01-2018","Stamford Bridge","Everton","West Brom",0.5,0.166666666666667,0.333333333333333
"235",235,24,"20-01-2018","Goodison Park","Leicester","Watford",1,0,0
"236",236,24,"20-01-2018","Old Trafford","Man City","Newcastle",0.722222222222222,0.0555555555555556,0.222222222222222
"237",237,24,"20-01-2018","St. James' Park","Spurs","Huddersfield",1,0,0
