,Team1,Team2,HomeWin,AwayWin,HomeDraw,AwayDraw
367,Sheffield United,Coventry,0,0,1,1
368,Sheffield United,Man United,0,0,0,0
369,Sheffield United,QPR,0,0,1,0
370,Sheffield United,Sheffield Weds,0,0,1,0
371,Sheffield United,Swindon,1,0,0,1
372,Sheffield United,Crystal Palace,0,0,0,0
373,Sheffield United,Leicester,0,0,0,0
374,Sheffield United,Nottingham Forest,0,0,0,0
375,Sheffield United,Bolton,0,0,1,0
376,Sheffield United,Middlesbrough,1,0,0,0
377,Sheffield United,Derby,0,0,0,0
378,Sheffield United,Sunderland,0,0,0,0
379,Sheffield United,Barnsley,0,0,0,0
380,Sheffield United,Charlton,1,0,0,1
381,Sheffield United,Watford,1,1,0,0
382,Sheffield United,Bradford,0,0,0,0
383,Sheffield United,Fulham,1,0,0,0
384,Sheffield United,Birmingham,0,0,0,0
385,Sheffield United,Middlesboro,0,0,0,0
386,Sheffield United,West Brom,0,0,0,0
387,Sheffield United,Portsmouth,0,0,1,0
388,Sheffield United,Wolves,0,0,0,0
389,Sheffield United,Wigan,0,1,0,0
390,Sheffield United,Reading,0,0,0,0
391,Sheffield United,Hull,0,0,0,0
392,Sheffield United,Stoke,0,0,0,0
393,Sheffield United,Burnley,0,0,0,0
394,Sheffield United,Blackpool,0,0,0,0
395,Sheffield United,Swansea,0,0,0,0
396,Sheffield United,Cardiff,0,0,0,0
397,Sheffield United,Bournemouth,0,0,0,0
398,Sheffield United,Brighton,0,0,0,0
399,Sheffield United,Huddersfield,0,0,0,0
400,Southampton,Arsenal,0.28,0,0.33,0.28
401,Southampton,Aston Villa,0.38,0.31,0.19,0.31
402,Southampton,Chelsea,0.22,0.17,0.17,0.22
403,Southampton,Liverpool,0.33,0.17,0.22,0.28
404,Southampton,Man City,0.23,0.23,0.31,0.23
405,Southampton,Newcastle,0.71,0.18,0.24,0.18
406,Southampton,Oldham,0,0,0,0
407,Southampton,Sheffield United,0,0,1,1
408,Southampton,Southampton,0,0,0,0
409,Southampton,West Ham,0.44,0.25,0.38,0.06
410,Southampton,Norwich,0.5,0.17,0.33,0.33
