"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct","homeOdds","awayOdds","drawOdds"
"171",179,18,"16-12-2017","London Stadium","Arsenal","Newcastle",0.43,0.29,0.27,2.33,3.45,3.7
"172",174,18,"16-12-2017","Anfield","Brighton","Burnley",0.25,0.25,0.5,4,4,2
"173",180,18,"16-12-2017","Molineux Stadium","Chelsea","Southampton",0.4,0.29,0.31,2.5,3.45,3.23
"174",171,18,"16-12-2017","Vitality Stadium","Leicester","Crystal Palace",0.33,0.38,0.29,3.03,2.63,3.45
"175",173,18,"16-12-2017","Craven Cottage","Man City","Tottenham",0.35,0.36,0.29,2.86,2.78,3.45
"176",175,18,"16-12-2017","Etihad Stadium","Spurs","West Ham",0.33,0.33,0.33,3.03,3.03,3.03
"177",176,18,"16-12-2017","St. James' Park","Watford","Huddersfield",0.25,0.5,0.25,4,2,4
"178",172,18,"17-12-2017","Amex Stadium","Bournemouth","Liverpool",0.33,0.42,0.25,3.03,2.38,4
"179",178,18,"17-12-2017","Tottenham Hotspur Stadium","West Brom","Man United",0.27,0.44,0.29,3.7,2.27,3.45
"180",177,18,"18-12-2017","The City Ground","Everton","Swansea",0.36,0.29,0.36,2.78,3.45,2.78
"181",183,19,"22-12-2017","Brentford Community Stadium","Arsenal","Liverpool",0.34,0.31,0.35,2.94,3.23,2.86
"182",186,19,"23-12-2017","Goodison Park","Brighton","Watford",0.5,0.25,0.25,2,4,4
"183",188,19,"23-12-2017","King Power Stadium","Burnley","Tottenham",0.31,0.38,0.31,3.23,2.63,3.23
"184",181,19,"23-12-2017","Emirates Stadium","Everton","Chelsea",0.33,0.34,0.33,3.03,2.94,3.03
"185",189,19,"23-12-2017","Old Trafford","Leicester","Man United",0.27,0.4,0.33,3.7,2.5,3.03
"186",190,19,"23-12-2017","St. Mary's Stadium","Man City","Bournemouth",0.5,0.25,0.25,2,4,4
"187",187,19,"23-12-2017","Elland Road","Southampton","Huddersfield",0.25,0.25,0.5,4,4,2
"188",182,19,"23-12-2017","Villa Park","Spurs","West Brom",0.33,0.31,0.36,3.03,3.23,2.78
"189",185,19,"23-12-2017","Selhurst Park","Swansea","Crystal Palace",0.3,0.25,0.45,3.33,4,2.22
"190",184,19,"23-12-2017","Stamford Bridge","West Ham","Newcastle",0.35,0.35,0.3,2.86,2.86,3.33
"191",191,20,"26-12-2017","Villa Park","Bournemouth","West Ham",0.33,0.33,0.33,3.03,3.03,3.03
"192",196,20,"26-12-2017","Old Trafford","Chelsea","Brighton",0.5,0.25,0.25,2,4,4
"193",193,20,"26-12-2017","Amex Stadium","Huddersfield","Spurs",0.25,0.25,0.5,4,4,2
"194",194,20,"26-12-2017","Stamford Bridge","Liverpool","Swansea",0.43,0.29,0.29,2.33,3.45,3.45
"195",195,20,"26-12-2017","Goodison Park","Man United","Burnley",0.38,0.25,0.38,2.63,4,2.63
"196",198,20,"26-12-2017","The City Ground","Tottenham","Southampton",0.43,0.29,0.28,2.33,3.45,3.57
"197",200,20,"26-12-2017","Molineux Stadium","Watford","Leicester",0.38,0.31,0.31,2.63,3.23,3.23
"198",192,20,"26-12-2017","Brentford Community Stadium","West Brom","Everton",0.33,0.38,0.29,3.03,2.63,3.45
"199",197,20,"27-12-2017","St. James' Park","Newcastle","Man City",0.33,0.38,0.29,3.03,2.63,3.45
"200",199,20,"28-12-2017","Tottenham Hotspur Stadium","Crystal Palace","Arsenal",0.28,0.41,0.31,3.57,2.44,3.23
"201",207,21,"30-12-2017","Anfield","Bournemouth","Everton",0.42,0.25,0.33,2.38,4,3.03
"202",201,21,"30-12-2017","Vitality Stadium","Chelsea","Spurs",0.48,0.25,0.28,2.08,4,3.57
"203",206,21,"30-12-2017","King Power Stadium","Huddersfield","Burnley",0.25,0.25,0.5,4,4,2
"204",208,21,"30-12-2017","Etihad Stadium","Liverpool","Leicester",0.4,0.31,0.29,2.5,3.23,3.45
"205",209,21,"30-12-2017","St. Mary's Stadium","Man United","Southampton",0.43,0.28,0.29,2.33,3.57,3.45
"206",210,21,"30-12-2017","London Stadium","Newcastle","Brighton",0.25,0.25,0.5,4,4,2
"207",203,21,"30-12-2017","Selhurst Park","Watford","Swansea",0.42,0.33,0.25,2.38,3.03,4
"208",205,21,"31-12-2017","Elland Road","Crystal Palace","Man City",0.32,0.39,0.29,3.12,2.56,3.45
"209",202,21,"31-12-2017","Emirates Stadium","West Brom","Arsenal",0.31,0.38,0.31,3.23,2.63,3.23
"210",204,21,"01-01-2018","Craven Cottage","Brighton","Bournemouth",0.25,0.25,0.5,4,4,2
"211",211,22,"01-01-2018","Villa Park","Burnley","Liverpool",0.31,0.44,0.25,3.23,2.27,4
"212",212,22,"01-01-2018","Brentford Community Stadium","Everton","Man United",0.31,0.4,0.29,3.23,2.5,3.45
"213",213,22,"01-01-2018","Amex Stadium","Leicester","Huddersfield",0.5,0.25,0.25,2,4,4
"214",214,22,"01-01-2018","Stamford Bridge","Spurs","Newcastle",0.41,0.31,0.28,2.44,3.23,3.57
"215",215,22,"02-01-2018","Goodison Park","Man City","Watford",0.44,0.25,0.31,2.27,4,3.23
"216",216,22,"02-01-2018","Old Trafford","Southampton","Crystal Palace",0.44,0.28,0.28,2.27,3.57,3.57
"217",217,22,"02-01-2018","St. James' Park","Swansea","Tottenham",0.25,0.43,0.32,4,2.33,3.12
"218",218,22,"02-01-2018","The City Ground","West Ham","West Brom",0.32,0.28,0.4,3.12,3.57,2.5
"219",219,22,"03-01-2018","Tottenham Hotspur Stadium","Arsenal","Chelsea",0.36,0.3,0.34,2.78,3.33,2.94
"220",220,22,"04-01-2018","Molineux Stadium","Tottenham","West Ham",0.39,0.3,0.32,2.56,3.33,3.12
"221",221,23,"13-01-2018","Vitality Stadium","Chelsea","Leicester",0.4,0.27,0.33,2.5,3.7,3.03
