Match Number,Round Number,Date,Location,HomeTeam,AwayTeam
142,15,02-12-2017,Stamford Bridge,Spurs,Swansea
141,15,02-12-2017,Villa Park,Watford,Tottenham
147,15,02-12-2017,St. Mary's Stadium,West Brom,Crystal Palace
149,15,03-12-2017,London Stadium,Bournemouth,Southampton
148,15,03-12-2017,Tottenham Hotspur Stadium,Man City,West Ham
155,16,09-12-2017,Etihad Stadium,Burnley,Watford
151,16,09-12-2017,Vitality Stadium,Crystal Palace,Bournemouth
154,16,09-12-2017,Anfield,Huddersfield,Brighton
157,16,09-12-2017,The City Ground,Newcastle,Leicester
158,16,09-12-2017,Tottenham Hotspur Stadium,Swansea,West Brom
159,16,09-12-2017,London Stadium,Tottenham,Spurs
156,16,09-12-2017,St. James' Park,West Ham,Chelsea
160,16,10-12-2017,Molineux Stadium,Liverpool,Everton
152,16,10-12-2017,Amex Stadium,Man United,Man City
153,16,10-12-2017,Craven Cottage,Southampton,Arsenal
163,17,12-12-2017,Brentford Community Stadium,Burnley,Spurs
165,17,12-12-2017,Selhurst Park,Crystal Palace,Watford
166,17,12-12-2017,Goodison Park,Huddersfield,Chelsea
168,17,13-12-2017,King Power Stadium,Liverpool,West Brom
170,17,13-12-2017,St. Mary's Stadium,Man United,Bournemouth
162,17,13-12-2017,Villa Park,Newcastle,Everton
161,17,13-12-2017,Emirates Stadium,Southampton,Leicester
164,17,13-12-2017,Stamford Bridge,Swansea,Man City
169,17,13-12-2017,Old Trafford,Tottenham,Brighton
167,17,13-12-2017,Elland Road,West Ham,Arsenal
179,18,16-12-2017,London Stadium,Arsenal,Newcastle
174,18,16-12-2017,Anfield,Brighton,Burnley
180,18,16-12-2017,Molineux Stadium,Chelsea,Southampton
171,18,16-12-2017,Vitality Stadium,Leicester,Crystal Palace
173,18,16-12-2017,Craven Cottage,Man City,Tottenham
175,18,16-12-2017,Etihad Stadium,Spurs,West Ham
176,18,16-12-2017,St. James' Park,Watford,Huddersfield
172,18,17-12-2017,Amex Stadium,Bournemouth,Liverpool
178,18,17-12-2017,Tottenham Hotspur Stadium,West Brom,Man United
177,18,18-12-2017,The City Ground,Everton,Swansea
183,19,22-12-2017,Brentford Community Stadium,Arsenal,Liverpool
186,19,23-12-2017,Goodison Park,Brighton,Watford
188,19,23-12-2017,King Power Stadium,Burnley,Tottenham
181,19,23-12-2017,Emirates Stadium,Everton,Chelsea
189,19,23-12-2017,Old Trafford,Leicester,Man United
190,19,23-12-2017,St. Mary's Stadium,Man City,Bournemouth
187,19,23-12-2017,Elland Road,Southampton,Huddersfield
182,19,23-12-2017,Villa Park,Spurs,West Brom
185,19,23-12-2017,Selhurst Park,Swansea,Crystal Palace
184,19,23-12-2017,Stamford Bridge,West Ham,Newcastle
191,20,26-12-2017,Villa Park,Bournemouth,West Ham
196,20,26-12-2017,Old Trafford,Chelsea,Brighton
193,20,26-12-2017,Amex Stadium,Huddersfield,Spurs
194,20,26-12-2017,Stamford Bridge,Liverpool,Swansea
195,20,26-12-2017,Goodison Park,Man United,Burnley
198,20,26-12-2017,The City Ground,Tottenham,Southampton
200,20,26-12-2017,Molineux Stadium,Watford,Leicester
192,20,26-12-2017,Brentford Community Stadium,West Brom,Everton
197,20,27-12-2017,St. James' Park,Newcastle,Man City
199,20,28-12-2017,Tottenham Hotspur Stadium,Crystal Palace,Arsenal
207,21,30-12-2017,Anfield,Bournemouth,Everton
201,21,30-12-2017,Vitality Stadium,Chelsea,Spurs
206,21,30-12-2017,King Power Stadium,Huddersfield,Burnley
208,21,30-12-2017,Etihad Stadium,Liverpool,Leicester
209,21,30-12-2017,St. Mary's Stadium,Man United,Southampton
210,21,30-12-2017,London Stadium,Newcastle,Brighton
203,21,30-12-2017,Selhurst Park,Watford,Swansea
205,21,31-12-2017,Elland Road,Crystal Palace,Man City
202,21,31-12-2017,Emirates Stadium,West Brom,Arsenal
204,21,01-01-2018,Craven Cottage,Brighton,Bournemouth
211,22,01-01-2018,Villa Park,Burnley,Liverpool
212,22,01-01-2018,Brentford Community Stadium,Everton,Man United
213,22,01-01-2018,Amex Stadium,Leicester,Huddersfield
214,22,01-01-2018,Stamford Bridge,Spurs,Newcastle
215,22,02-01-2018,Goodison Park,Man City,Watford
216,22,02-01-2018,Old Trafford,Southampton,Crystal Palace
217,22,02-01-2018,St. James' Park,Swansea,Tottenham
218,22,02-01-2018,The City Ground,West Ham,West Brom
219,22,03-01-2018,Tottenham Hotspur Stadium,Arsenal,Chelsea
220,22,04-01-2018,Molineux Stadium,Tottenham,West Ham
221,23,13-01-2018,Vitality Stadium,Chelsea,Leicester
222,23,13-01-2018,Emirates Stadium,Crystal Palace,Burnley
223,23,13-01-2018,Selhurst Park,Huddersfield,West Ham
224,23,13-01-2018,Craven Cottage,Newcastle,Swansea
225,23,13-01-2018,Elland Road,Tottenham,Everton
226,23,13-01-2018,King Power Stadium,Watford,Southampton
227,23,13-01-2018,Anfield,West Brom,Brighton
228,23,14-01-2018,Etihad Stadium,Bournemouth,Arsenal
229,23,14-01-2018,St. Mary's Stadium,Liverpool,Man City
230,23,15-01-2018,London Stadium,Man United,Spurs
231,24,20-01-2018,Villa Park,Arsenal,Crystal Palace
232,24,20-01-2018,Brentford Community Stadium,Brighton,Chelsea
233,24,20-01-2018,Amex Stadium,Burnley,Man United
234,24,20-01-2018,Stamford Bridge,Everton,West Brom
235,24,20-01-2018,Goodison Park,Leicester,Watford
236,24,20-01-2018,Old Trafford,Man City,Newcastle
237,24,20-01-2018,St. James' Park,Spurs,Huddersfield
238,24,20-01-2018,The City Ground,West Ham,Bournemouth
239,24,21-01-2018,Tottenham Hotspur Stadium,Southampton,Tottenham
240,24,22-01-2018,Molineux Stadium,Swansea,Liverpool
241,25,30-01-2018,Vitality Stadium,Huddersfield,Liverpool
242,25,30-01-2018,Selhurst Park,Swansea,Arsenal
243,25,30-01-2018,Goodison Park,West Ham,Crystal Palace
244,25,31-01-2018,Craven Cottage,Chelsea,Bournemouth
245,25,31-01-2018,Elland Road,Everton,Leicester
246,25,31-01-2018,King Power Stadium,Man City,West Brom
247,25,31-01-2018,Old Trafford,Newcastle,Burnley
248,25,31-01-2018,St. James' Park,Southampton,Brighton
249,25,31-01-2018,Tottenham Hotspur Stadium,Spurs,Watford
